airport_id,AIRPORT,orig_pm
13485,MSN,604136826
13486,MSO,344222853
13487,MSP,19052095944
13490,MSS,1367006
13493,MSV,4985
13495,MSY,5110097774
13498,MTC,30702
13501,MTH,17651
13502,MTJ,133928361
13504,MTM,7888
13505,MTN,14573
13506,MTO,151840
13507,MTP,11002
13513,MTX,18072
13520,MUE,284522
13535,MVL,4879
13540,MVW,2280
13541,MVY,15534410
13543,MWA,2686893
13546,MWH,24436
13564,MXY,11834
13570,MYF,984
13574,MYK,4815
13575,MYL,698
13577,MYR,819830604
13579,MYU,178759
13599,NAD,1951
13629,NCN,48423
13655,NEW,21149
13667,NGU,29024
13674,NHZ,2077
13676,NIB,146234
13685,NJ1,2894
13686,NJ2,2106
13697,NKT,725681
13697,N1C,725681
13700,NKX,99887
13704,NLG,21446
13710,NME,113440
13714,NNK,537
13715,NNL,48526
13731,NPT,58112
13736,NQX,84411
13750,NSL,2820
13750,1FL,2820
13767,NUI,303885
13768,NUL,414194
13770,NUP,64978
13771,NUQ,309981
13785,NYL,199088
13795,OAJ,37628976
13796,OAK,4725764238
13806,OBU,138497
13808,OCE,2628
13809,OCF,6510
13814,OCW,2520
13824,OFF,100298
13829,OGD,86171
13830,OGG,6231404445
13832,OGS,1917009
13845,OIC,187
13851,OKC,1376514056
13862,OLF,665283
13863,OLH,105356
13865,OLM,3819
13871,OMA,1788332439
13873,OME,26388040
13884,ONH,2780
13888,ONN,1591
13891,ONT,3412445688
13894,OOK,345816
13898,OPF,8133265
13930,ORD,50411574705
13931,ORF,1242737117
13933,ORH,83839406
13934,ORI,19764
13936,ORL,385870
13942,ORV,170460
13958,OSU,7536
13964,OTH,9828639
13970,OTZ,20773410
13976,OUN,15235
13983,OWB,5120070
13984,OWD,31495
13987,OXC,81723
13988,OXR,3676
14004,PAE,313788277
14006,PAH,6081188
14009,PAM,124074
14013,PAQ,1100
14025,PBG,81453284
14027,PBI,3516249660
14028,PBK,12204
14044,PCT,9650
14046,PDB,9457
14050,PDK,188663
14054,PDT,1009008
14057,PDX,9667310658
14062,PEC,82209
14081,PGA,2517214
14082,PGD,952187051
14088,PGM,33563
14092,PGV,8579866
14098,PHF,23311190
14100,PHL,16623685270
14102,PHO,667747
14107,PHX,26111096051
14108,PIA,224064521
14109,PIB,4898262
14112,PIE,1097976779
14113,PIH,3099607
